label,model,provider,tpq,intra_threads,bind_cores,time_s,max_rss_mb,status
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,15.524,35001.3,SUCCESS
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,16.3799,35598.1,SUCCESS
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,15.247,35583.9,SUCCESS
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,15.2024,35607.5,SUCCESS
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,15.0036,35619.3,SUCCESS
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,15.3586,35582.9,SUCCESS
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,15.3454,35579.4,SUCCESS
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,14.9974,35576.3,SUCCESS
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,14.6566,35573,SUCCESS
giant_SS_TPQ48_I2_B96,giant,SS_TPQ48_I2_B96,48,2,96,15.8913,35606.7,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,32.1529,34449.8,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,31.0939,34447.8,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,31.5235,34452.8,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,31.2612,34430.6,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,30.2625,34418.3,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,31.1305,34463.9,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,31.1848,34462.1,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,31.4446,34447.1,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,30.8577,34483.3,SUCCESS
mmcp_transformer_SS_TPQ48_I2_B96,mmcp_transformer,SS_TPQ48_I2_B96,48,2,96,30.3702,34475.3,SUCCESS
transformer_SS_TPQ48_I2_B96,transformer,SS_TPQ48_I2_B96,48,2,96,7.30667,29467.2,SUCCESS
transformer_SS_TPQ48_I2_B96,transformer,SS_TPQ48_I2_B96,48,2,96,7.05174,29430.8,SUCCESS
transformer_SS_TPQ48_I2_B96,transformer,SS_TPQ48_I2_B96,48,2,96,7.08044,29408.6,SUCCESS
transformer_SS_TPQ48_I2_B96,transformer,SS_TPQ48_I2_B96,48,2,96,7.28903,29456.5,SUCCESS
