label,model,provider,tpq,intra_threads,bind_cores,time_s,max_rss_mb,status
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,125.606,34969.4,SUCCESS
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,116.892,35613.7,SUCCESS
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,127.959,35606.4,SUCCESS
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,136.278,35595.5,SUCCESS
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,126.662,35597.7,SUCCESS
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,133.544,35615,SUCCESS
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,132.636,35587.3,SUCCESS
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,114.934,35589.9,SUCCESS
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,132.85,35640.6,SUCCESS
giant_SS_TPQ12_I8_B96,giant,SS_TPQ12_I8_B96,12,8,96,134.666,35604,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,113.547,34462.1,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,122.264,34417.7,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,119.852,34474.2,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,122.366,34475,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,122.96,34463.7,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,117.925,34479.4,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,113.172,34463.3,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,117.336,34447.4,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,112.838,34473.5,SUCCESS
mmcp_transformer_SS_TPQ12_I8_B96,mmcp_transformer,SS_TPQ12_I8_B96,12,8,96,120.114,34479.3,SUCCESS
transformer_SS_TPQ12_I8_B96,transformer,SS_TPQ12_I8_B96,12,8,96,13.6465,29428.1,SUCCESS
