label,model,provider,tpq,intra_threads,bind_cores,cold_time_s,warm_time_s,max_rss_mb,job_mem_mb,status
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.60624,1.17843,36254.6,243712,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.45102,1.07649,36290.8,243712,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.5281,0.968942,36430.2,243712,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.45174,1.15766,36230.7,243712,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.60219,1.05311,36427.1,243712,SUCCESS
watercnn_PHYDLL_CPP_DLR96_I1,watercnn,PHYDLL_CPP_DLR96_I1,96,1,0,1.46819,1.06768,36267.2,243712,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,7.74608,5.5602,99519.2,247848,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,6.38676,5.59867,104753,251396,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,6.88414,5.9348,104524,251806,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,6.52412,5.65369,104735,251840,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,6.49456,5.37404,104575,251840,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,6.81293,5.81637,104750,251840,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,6.48118,6.31648,104733,251840,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,6.39143,5.40546,104526,251840,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,6.69,5.47745,104751,251840,SUCCESS
perfect_PHYDLL_CPP_DLR96_I1,perfect,PHYDLL_CPP_DLR96_I1,96,1,0,6.60128,6.57988,104792,251840,SUCCESS
