label,model,provider,tpq,intra_threads,bind_cores,time_s,max_rss_mb,status
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,237.938,6784.5,SUCCESS
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,236.473,6782.62,SUCCESS
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,243.566,6782.66,SUCCESS
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,232.232,6782.66,SUCCESS
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,225.395,6782.66,SUCCESS
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,243.639,6782.66,SUCCESS
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,249,6782.67,SUCCESS
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,228.077,6782.66,SUCCESS
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,251.22,6782.66,SUCCESS
giant_SINGLE_SS_TPQ48_I2_B96,giant,SINGLE_SS_TPQ48_I2_B96,48,2,96,222.478,6782.72,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,424.966,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,428.69,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,432.816,3869.23,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,403.854,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,403.684,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,455.46,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,442.913,3871.02,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,447.894,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,455.921,3869.21,SUCCESS
mmcp_transformer_SINGLE_SS_TPQ48_I2_B96,mmcp_transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,448.382,3869.21,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,61.0062,648.125,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,71.1401,648.098,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,63.7694,648.094,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,68.4275,648.848,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,62.8552,648.098,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,61.925,648.098,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,65.4933,648.102,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,65.7064,648.152,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,64.4672,648.098,SUCCESS
transformer_SINGLE_SS_TPQ48_I2_B96,transformer,SINGLE_SS_TPQ48_I2_B96,48,2,96,72.0899,650.09,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,16.5804,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,17.0979,9171.92,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,17.2198,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,16.6067,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,16.794,9172.7,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,18.1443,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,18.7439,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,18.0538,9171.92,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,17.7855,9171.95,SUCCESS
perfect_SINGLE_SS_TPQ48_I2_B96,perfect,SINGLE_SS_TPQ48_I2_B96,48,2,96,17.6518,9171.95,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,9.19574,2145.58,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,8.40444,2144.8,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,8.95914,2144.8,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,9.31222,2144.85,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,8.45457,2144.82,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,8.42519,2144.82,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,8.5263,2144.82,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,8.5444,2144.82,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,9.13671,2145.58,SUCCESS
watercnn_SINGLE_SS_TPQ48_I2_B96,watercnn,SINGLE_SS_TPQ48_I2_B96,48,2,96,9.1487,2145.05,SUCCESS
